Year,Tonnes of waste,Population,Kilograms of waste per capita
2006-2007,"4,902,231",20827600,235.3718623
2008-2009,"4,984,437",21691700,229.7854479
2009-2010,"4,856,157",22031800,220.4158081
2010-2011,"4,693,019",22340000,210.0724709
2013-2014,"4,751,066",23475700,202.3822932
2014-2015,"4,580,188",23816000,192.3155862
2015-2016,"4,498,920",24190900,185.9757181
2016-2017,"4,698,271",24601900,190.9718762
2017-2018,"4,521,721",24982700,180.9940879
2018-2019,"4,429,804",25365700,174.6375617
